Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.94*D*D + 0.06*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
01-Oct-19,SALASAR,106.25,114.65,-0.0761,0.036,0.0396,0.7566
01-Oct-19,SALONA,72.25,70,0.0316,0.0336,0.0335,0.64
01-Oct-19,SALSTEEL,3.05,3.05,0,0.0697,0.0676,1.2915
01-Oct-19,SALZERELEC,120.1,128.95,-0.0711,0.0263,0.0309,0.5903
01-Oct-19,SAMBHAAV,2.65,2.7,-0.0187,0.03,0.0294,0.5617
01-Oct-19,SAMYAK,9.95,9.95,0,0,0,0
01-Oct-19,SANCO,17.7,17.2,0.0287,0.0505,0.0495,0.9457
01-Oct-19,SANDESH,595.5,579.6,0.0271,0.0221,0.0224,0.428
01-Oct-19,SANDHAR,231.15,241.95,-0.0457,0.0248,0.0265,0.5063
01-Oct-19,SANGAMIND,38.45,38.5,-0.0013,0.0499,0.0484,0.9247
01-Oct-19,SANGHIIND,51.6,51,0.0117,0.0362,0.0352,0.6725
01-Oct-19,SANGHVIFOR,31.4,31.1,0.0096,0.0369,0.0359,0.6859
01-Oct-19,SANGHVIMOV,88.35,90.55,-0.0246,0.0295,0.0292,0.5579
01-Oct-19,SANGINITA,110.35,108.65,0.0155,0.0229,0.0225,0.4299
01-Oct-19,SANOFI,5844.45,5878.7,-0.0058,0.016,0.0156,0.298
01-Oct-19,SANWARIA,2.1,2.2,-0.0465,0.0458,0.0458,0.875
01-Oct-19,SARDAEN,150.45,154,-0.0233,0.0354,0.0348,0.6649
01-Oct-19,SAREGAMA,343.8,345.5,-0.0049,0.0365,0.0354,0.6763
01-Oct-19,SARLAPOLY,22.3,22.1,0.009,0.0186,0.0182,0.3477
01-Oct-19,SARNIMAL,1,1,0,0,0,0
01-Oct-19,SASKEN,587.45,593.2,-0.0097,0.0245,0.0239,0.4566
01-Oct-19,SASTASUNDR,97.05,95.8,0.013,0.0304,0.0296,0.5655
01-Oct-19,SATHAISPAT,6.15,6.25,-0.0161,0.0525,0.0511,0.9763
01-Oct-19,SATIA,701.6,731.8,-0.0421,0.0192,0.0213,0.4069
01-Oct-19,SATIN,304.95,312.75,-0.0253,0.0269,0.0268,0.512
01-Oct-19,SATYASHYAM,22.65,22.65,0,0,0,0
01-Oct-19,SBHL,10,10,0,0,0,0
01-Oct-19,SBIETFQLTY,97.34,98.66,-0.0135,0.0126,0.0127,0.2426
01-Oct-19,SBILIFE,827.7,846.4,-0.0223,0.0181,0.0184,0.3515
01-Oct-19,SBIN,255.95,270.8,-0.0564,0.0347,0.0364,0.6954
01-Oct-19,SCAPDVR,0.5,0.55,-0.0953,0.0871,0.0876,1.6736
01-Oct-19,SCEL,10,10,0,0,0,0
01-Oct-19,SCHAEFFLER,4257.1,4373.95,-0.0271,0.0178,0.0185,0.3534
01-Oct-19,SCHAND,60.75,62.75,-0.0324,0.04,0.0396,0.7566
01-Oct-19,SCHNEIDER,74.65,78.6,-0.0516,0.0281,0.03,0.5731
01-Oct-19,SCI,44.9,43.25,0.0374,0.0408,0.0406,0.7757
01-Oct-19,SDBL,123.15,123.6,-0.0036,0.0166,0.0161,0.3076
01-Oct-19,SEAMECLTD,381.2,386.35,-0.0134,0.0353,0.0344,0.6572
01-Oct-19,SELAN,139.15,143.15,-0.0283,0.029,0.029,0.554
01-Oct-19,SELMCL,0.6,0.6,0,0.0578,0.056,1.0699
01-Oct-19,SEPOWER,2.3,2.6,-0.1226,0.0507,0.0576,1.1004
01-Oct-19,SEQUENT,72.65,75.65,-0.0405,0.0387,0.0388,0.7413
01-Oct-19,SESHAPAPER,201.9,208,-0.0298,0.0341,0.0339,0.6477
01-Oct-19,SETCO,14.5,15.55,-0.0699,0.0407,0.043,0.8215
01-Oct-19,SETF10GILT,180,184,-0.022,0.0326,0.0321,0.6133
01-Oct-19,SETFGOLD,3320.4,3368.45,-0.0144,0.0086,0.0091,0.1739
